label,reason,length,x_ratio,noncanonical_ratio,resolution,source_file
10jt_A,kept,172,0.0000,0.0000,1.489,data/all_pdb_1y/fed_split/client_4/mmcif_files/10jt.cif
10nu_A,kept,170,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_4/mmcif_files/10nu.cif
11qe_A,kept,170,0.0000,0.0000,1.23,data/all_pdb_1y/fed_split/client_4/mmcif_files/11qe.cif
11wx_A,kept,253,0.0000,0.0000,1.91,data/all_pdb_1y/fed_split/client_4/mmcif_files/11wx.cif
12ak_A,kept,133,0.0000,0.0000,1.37,data/all_pdb_1y/fed_split/client_4/mmcif_files/12ak.cif
12fa_A,kept,104,0.0000,0.0000,1.48,data/all_pdb_1y/fed_split/client_4/mmcif_files/12fa.cif
12hp_C,kept,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
12is_A,kept,146,0.0000,0.0000,1.31,data/all_pdb_1y/fed_split/client_4/mmcif_files/12is.cif
21ng_A,kept,85,0.0000,0.0000,1.53,data/all_pdb_1y/fed_split/client_4/mmcif_files/21ng.cif
21nh_A,kept,92,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_4/mmcif_files/21nh.cif
22fk_A,kept,106,0.0000,0.0000,1.898,data/all_pdb_1y/fed_split/client_4/mmcif_files/22fk.cif
23ac_A,kept,193,0.0000,0.0000,1.4,data/all_pdb_1y/fed_split/client_4/mmcif_files/23ac.cif
23om_A,kept,259,0.0000,0.0000,1.7,data/all_pdb_1y/fed_split/client_4/mmcif_files/23om.cif
25hk_A,kept,291,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_4/mmcif_files/25hk.cif
26ln_A,kept,247,0.0000,0.0000,1.408,data/all_pdb_1y/fed_split/client_4/mmcif_files/26ln.cif
27rq_A,kept,74,0.0000,0.0000,1.75,data/all_pdb_1y/fed_split/client_4/mmcif_files/27rq.cif
29li_A,kept,123,0.0000,0.0000,1.2,data/all_pdb_1y/fed_split/client_4/mmcif_files/29li.cif
36om_A,kept,170,0.0000,0.0000,1.25,data/all_pdb_1y/fed_split/client_4/mmcif_files/36om.cif
7h9k_A,kept,237,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_4/mmcif_files/7h9k.cif
7hiy_A,kept,126,0.0000,0.0000,1.43,data/all_pdb_1y/fed_split/client_4/mmcif_files/7hiy.cif
7i04_A,kept,209,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_4/mmcif_files/7i04.cif
8k4k_A,kept,206,0.0000,0.0000,1.7,data/all_pdb_1y/fed_split/client_4/mmcif_files/8k4k.cif
8pvw_A,kept,187,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/8pvw.cif
8py0_A,kept,188,0.0000,0.0000,1.75,data/all_pdb_1y/fed_split/client_4/mmcif_files/8py0.cif
8rlo_AAA,kept,261,0.0000,0.0000,1.55,data/all_pdb_1y/fed_split/client_4/mmcif_files/8rlo.cif
8rlp_AAA,kept,260,0.0000,0.0000,1.342,data/all_pdb_1y/fed_split/client_4/mmcif_files/8rlp.cif
8rlq_AAA,kept,260,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_4/mmcif_files/8rlq.cif
8rnz_A,kept,100,0.0000,0.0000,1.98,data/all_pdb_1y/fed_split/client_4/mmcif_files/8rnz.cif
8rw6_B,kept,114,0.0000,0.0000,1.83,data/all_pdb_1y/fed_split/client_4/mmcif_files/8rw6.cif
8s1n_A,kept,177,0.0000,0.0000,1.8,data/all_pdb_1y/fed_split/client_4/mmcif_files/8s1n.cif
8s6s_A,kept,183,0.0000,0.0000,1.789,data/all_pdb_1y/fed_split/client_4/mmcif_files/8s6s.cif
8s7a_A,kept,84,0.0000,0.0000,1.951,data/all_pdb_1y/fed_split/client_4/mmcif_files/8s7a.cif
8vni_A,kept,196,0.0000,0.0000,1.57,data/all_pdb_1y/fed_split/client_4/mmcif_files/8vni.cif
8vq5_A,kept,259,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_4/mmcif_files/8vq5.cif
8vrp_B,kept,229,0.0000,0.0000,1.8,data/all_pdb_1y/fed_split/client_4/mmcif_files/8vrp.cif
8wpa_A,kept,96,0.0000,0.0000,1.72,data/all_pdb_1y/fed_split/client_4/mmcif_files/8wpa.cif
8xr5_A,kept,126,0.0000,0.0000,1.95,data/all_pdb_1y/fed_split/client_4/mmcif_files/8xr5.cif
8xu3_A,kept,296,0.0000,0.0000,1.82,data/all_pdb_1y/fed_split/client_4/mmcif_files/8xu3.cif
8y6t_A,kept,262,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_4/mmcif_files/8y6t.cif
8yjg_A,kept,217,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_4/mmcif_files/8yjg.cif
8yk6_A,kept,207,0.0000,0.0000,0.99,data/all_pdb_1y/fed_split/client_4/mmcif_files/8yk6.cif
8yo6_A,kept,119,0.0000,0.0000,1.95,data/all_pdb_1y/fed_split/client_4/mmcif_files/8yo6.cif
8yuf_A,kept,139,0.0000,0.0000,1.59,data/all_pdb_1y/fed_split/client_4/mmcif_files/8yuf.cif
8yxq_A,kept,293,0.0000,0.0000,1.53,data/all_pdb_1y/fed_split/client_4/mmcif_files/8yxq.cif
8yxy_A,kept,293,0.0000,0.0000,1.13,data/all_pdb_1y/fed_split/client_4/mmcif_files/8yxy.cif
8z1i_A,kept,299,0.0000,0.0000,1.45,data/all_pdb_1y/fed_split/client_4/mmcif_files/8z1i.cif
8zci_A,kept,133,0.0000,0.0000,1.35,data/all_pdb_1y/fed_split/client_4/mmcif_files/8zci.cif
8zfv_A,kept,175,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/8zfv.cif
8zny_A,kept,182,0.0000,0.0000,1.65,data/all_pdb_1y/fed_split/client_4/mmcif_files/8zny.cif
8zxj_A,kept,96,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_4/mmcif_files/8zxj.cif
8zxt_A,kept,96,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_4/mmcif_files/8zxt.cif
8zxv_A,kept,96,0.0000,0.0000,1.43,data/all_pdb_1y/fed_split/client_4/mmcif_files/8zxv.cif
8zxy_A,kept,96,0.0000,0.0000,1.43,data/all_pdb_1y/fed_split/client_4/mmcif_files/8zxy.cif
9b25_A,kept,251,0.0000,0.0000,1.45,data/all_pdb_1y/fed_split/client_4/mmcif_files/9b25.cif
9b2e_A,kept,121,0.0000,0.0000,1.95,data/all_pdb_1y/fed_split/client_4/mmcif_files/9b2e.cif
9b4q_A,kept,169,0.0000,0.0000,1.46,data/all_pdb_1y/fed_split/client_4/mmcif_files/9b4q.cif
9bak_A,kept,169,0.0000,0.0000,1.67,data/all_pdb_1y/fed_split/client_4/mmcif_files/9bak.cif
9bl0_A,kept,169,0.0000,0.0000,1.66,data/all_pdb_1y/fed_split/client_4/mmcif_files/9bl0.cif
9blj_A,kept,72,0.0000,0.0000,1.74,data/all_pdb_1y/fed_split/client_4/mmcif_files/9blj.cif
9by5_A,kept,271,0.0000,0.0000,1.99,data/all_pdb_1y/fed_split/client_4/mmcif_files/9by5.cif
9c0a_A,kept,212,0.0000,0.0000,1.75,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c0a.cif
9c16_A,kept,210,0.0000,0.0000,1.58,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c16.cif
9c3k_A,kept,170,0.0000,0.0000,1.7,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c3k.cif
9c3m_A,kept,170,0.0000,0.0000,1.74,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c3m.cif
9c3n_A,kept,170,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c3n.cif
9c3q_A,kept,170,0.0000,0.0000,1.22,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c3q.cif
9c3z_A,kept,170,0.0000,0.0000,1.8,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c3z.cif
9c40_A,kept,170,0.0000,0.0000,1.8,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c40.cif
9c41_A,kept,170,0.0000,0.0000,1.94,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c41.cif
9c43_A,kept,170,0.0000,0.0000,1.87,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c43.cif
9c72_A,kept,118,0.0000,0.0000,1.93,data/all_pdb_1y/fed_split/client_4/mmcif_files/9c72.cif
9ca3_A,kept,286,0.0000,0.0000,1.89,data/all_pdb_1y/fed_split/client_4/mmcif_files/9ca3.cif
9cei_A,kept,192,0.0000,0.0000,1.77,data/all_pdb_1y/fed_split/client_4/mmcif_files/9cei.cif
