label,reason,length,x_ratio,noncanonical_ratio,resolution,source_file
10jt_B,duplicate_sequence,172,0.0000,0.0000,1.489,data/all_pdb_1y/fed_split/client_4/mmcif_files/10jt.cif
10nu_B,duplicate_sequence,170,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_4/mmcif_files/10nu.cif
10nv_A,duplicate_sequence,170,0.0000,0.0000,1.52,data/all_pdb_1y/fed_split/client_4/mmcif_files/10nv.cif
10nv_B,duplicate_sequence,170,0.0000,0.0000,1.52,data/all_pdb_1y/fed_split/client_4/mmcif_files/10nv.cif
11wx_B,duplicate_sequence,253,0.0000,0.0000,1.91,data/all_pdb_1y/fed_split/client_4/mmcif_files/11wx.cif
11wx_C,duplicate_sequence,253,0.0000,0.0000,1.91,data/all_pdb_1y/fed_split/client_4/mmcif_files/11wx.cif
12hp_A,duplicate_sequence,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
12hp_B,duplicate_sequence,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
12hp_D,duplicate_sequence,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
12hp_E,duplicate_sequence,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
12hp_F,duplicate_sequence,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
12hp_G,duplicate_sequence,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
12hp_H,duplicate_sequence,120,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_4/mmcif_files/12hp.cif
21ng_B,duplicate_sequence,85,0.0000,0.0000,1.53,data/all_pdb_1y/fed_split/client_4/mmcif_files/21ng.cif
21nh_B,duplicate_sequence,92,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_4/mmcif_files/21nh.cif
21nh_C,duplicate_sequence,92,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_4/mmcif_files/21nh.cif
21nh_D,duplicate_sequence,92,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_4/mmcif_files/21nh.cif
21nh_E,duplicate_sequence,92,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_4/mmcif_files/21nh.cif
22fk_B,duplicate_sequence,106,0.0000,0.0000,1.898,data/all_pdb_1y/fed_split/client_4/mmcif_files/22fk.cif
22fk_C,duplicate_sequence,106,0.0000,0.0000,1.898,data/all_pdb_1y/fed_split/client_4/mmcif_files/22fk.cif
22fk_D,duplicate_sequence,106,0.0000,0.0000,1.898,data/all_pdb_1y/fed_split/client_4/mmcif_files/22fk.cif
22fk_E,duplicate_sequence,106,0.0000,0.0000,1.898,data/all_pdb_1y/fed_split/client_4/mmcif_files/22fk.cif
23ac_B,duplicate_sequence,193,0.0000,0.0000,1.4,data/all_pdb_1y/fed_split/client_4/mmcif_files/23ac.cif
