label,reason,length,x_ratio,noncanonical_ratio,resolution,source_file
10af_A,kept,179,0.0000,0.0000,1.25,data/all_pdb_1y/fed_split/client_1/mmcif_files/10af.cif
10wy_A,kept,132,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_1/mmcif_files/10wy.cif
11cf_A,kept,146,0.0000,0.0000,1.25,data/all_pdb_1y/fed_split/client_1/mmcif_files/11cf.cif
11cg_A,kept,146,0.0000,0.0000,1.15,data/all_pdb_1y/fed_split/client_1/mmcif_files/11cg.cif
12jc_A,kept,161,0.0000,0.0000,1.8,data/all_pdb_1y/fed_split/client_1/mmcif_files/12jc.cif
12yi_A,kept,295,0.0034,0.0034,1.65,data/all_pdb_1y/fed_split/client_1/mmcif_files/12yi.cif
13ri_A,kept,169,0.0000,0.0000,1.02,data/all_pdb_1y/fed_split/client_1/mmcif_files/13ri.cif
22fg_A,kept,122,0.0000,0.0000,1.692,data/all_pdb_1y/fed_split/client_1/mmcif_files/22fg.cif
22gu_A,kept,272,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_1/mmcif_files/22gu.cif
22iy_A,kept,192,0.0000,0.0000,1.65,data/all_pdb_1y/fed_split/client_1/mmcif_files/22iy.cif
26qz_A,kept,68,0.0000,0.0000,1.804,data/all_pdb_1y/fed_split/client_1/mmcif_files/26qz.cif
26tb_A,kept,283,0.0000,0.0000,1.85,data/all_pdb_1y/fed_split/client_1/mmcif_files/26tb.cif
28nv_A,kept,205,0.0000,0.0000,1.27,data/all_pdb_1y/fed_split/client_1/mmcif_files/28nv.cif
28yl_D,kept,258,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_1/mmcif_files/28yl.cif
30id_A,kept,274,0.0000,0.0000,1.986,data/all_pdb_1y/fed_split/client_1/mmcif_files/30id.cif
35tm_A,kept,139,0.0000,0.0000,1.65,data/all_pdb_1y/fed_split/client_1/mmcif_files/35tm.cif
7iju_A,kept,170,0.0000,0.0000,1.295,data/all_pdb_1y/fed_split/client_1/mmcif_files/7iju.cif
8qg2_A,kept,272,0.0000,0.0000,1.83,data/all_pdb_1y/fed_split/client_1/mmcif_files/8qg2.cif
8r3n_B,kept,179,0.0000,0.0000,1.45,data/all_pdb_1y/fed_split/client_1/mmcif_files/8r3n.cif
8rho_A,kept,122,0.0000,0.0000,1.45,data/all_pdb_1y/fed_split/client_1/mmcif_files/8rho.cif
8rmz_A,kept,236,0.0000,0.0000,1.739,data/all_pdb_1y/fed_split/client_1/mmcif_files/8rmz.cif
8v23_A,kept,146,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_1/mmcif_files/8v23.cif
8vcf_A,kept,127,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_1/mmcif_files/8vcf.cif
8vcg_A,kept,126,0.0000,0.0000,1.61,data/all_pdb_1y/fed_split/client_1/mmcif_files/8vcg.cif
8vqs_A,kept,137,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_1/mmcif_files/8vqs.cif
8vuk_A,kept,90,0.0000,0.0000,1.3,data/all_pdb_1y/fed_split/client_1/mmcif_files/8vuk.cif
8xu6_A,kept,54,0.0000,0.0000,1.628,data/all_pdb_1y/fed_split/client_1/mmcif_files/8xu6.cif
8xvn_A,kept,270,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_1/mmcif_files/8xvn.cif
8y23_A,kept,121,0.0000,0.0000,1.48,data/all_pdb_1y/fed_split/client_1/mmcif_files/8y23.cif
8y76_A,kept,70,0.0000,0.0000,1.99,data/all_pdb_1y/fed_split/client_1/mmcif_files/8y76.cif
8yqg_A,kept,161,0.0000,0.0000,1.77,data/all_pdb_1y/fed_split/client_1/mmcif_files/8yqg.cif
8yzg_A,kept,59,0.0000,0.0000,1.4,data/all_pdb_1y/fed_split/client_1/mmcif_files/8yzg.cif
8z3h_A,kept,132,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_1/mmcif_files/8z3h.cif
8z4h_A,kept,228,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_1/mmcif_files/8z4h.cif
8z4n_A,kept,228,0.0000,0.0000,2.0,data/all_pdb_1y/fed_split/client_1/mmcif_files/8z4n.cif
8z6c_A,kept,93,0.0000,0.0000,1.93,data/all_pdb_1y/fed_split/client_1/mmcif_files/8z6c.cif
8zec_A,kept,151,0.0000,0.0000,1.65,data/all_pdb_1y/fed_split/client_1/mmcif_files/8zec.cif
