label,reason,length,x_ratio,noncanonical_ratio,resolution,source_file
10br_A,kept,204,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_2/mmcif_files/10br.cif
10jx_A,kept,145,0.0000,0.0000,1.47,data/all_pdb_1y/fed_split/client_2/mmcif_files/10jx.cif
10pi_A,kept,297,0.0034,0.0034,1.54,data/all_pdb_1y/fed_split/client_2/mmcif_files/10pi.cif
10ra_A,kept,144,0.0000,0.0000,1.79,data/all_pdb_1y/fed_split/client_2/mmcif_files/10ra.cif
10rc_A,kept,143,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_2/mmcif_files/10rc.cif
10xh_A,kept,93,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_2/mmcif_files/10xh.cif
11eg_A,kept,262,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_2/mmcif_files/11eg.cif
13ee_A,kept,161,0.0000,0.0000,1.729,data/all_pdb_1y/fed_split/client_2/mmcif_files/13ee.cif
23fi_A,kept,227,0.0000,0.0000,1.942,data/all_pdb_1y/fed_split/client_2/mmcif_files/23fi.cif
23si_A,kept,129,0.0000,0.0000,1.5,data/all_pdb_1y/fed_split/client_2/mmcif_files/23si.cif
24ku_A,kept,263,0.0000,0.0000,1.6,data/all_pdb_1y/fed_split/client_2/mmcif_files/24ku.cif
24os_A,kept,122,0.0000,0.0000,1.83,data/all_pdb_1y/fed_split/client_2/mmcif_files/24os.cif
27ae_A,kept,187,0.0000,0.0000,1.9,data/all_pdb_1y/fed_split/client_2/mmcif_files/27ae.cif
28wb_A,kept,267,0.0000,0.0000,1.501,data/all_pdb_1y/fed_split/client_2/mmcif_files/28wb.cif
29cu_A,kept,267,0.0000,0.0000,1.13,data/all_pdb_1y/fed_split/client_2/mmcif_files/29cu.cif
30ew_AAA,kept,125,0.0000,0.0000,1.699,data/all_pdb_1y/fed_split/client_2/mmcif_files/30ew.cif
36bz_A,kept,193,0.0000,0.0000,1.77,data/all_pdb_1y/fed_split/client_2/mmcif_files/36bz.cif
36iq_A,kept,98,0.0000,0.0000,1.56,data/all_pdb_1y/fed_split/client_2/mmcif_files/36iq.cif
7edq_A,kept,114,0.0000,0.0000,1.266,data/all_pdb_1y/fed_split/client_2/mmcif_files/7edq.cif
7h60_A,kept,226,0.0000,0.0000,1.88,data/all_pdb_1y/fed_split/client_2/mmcif_files/7h60.cif
7h6g_A,kept,235,0.0000,0.0000,1.21,data/all_pdb_1y/fed_split/client_2/mmcif_files/7h6g.cif
